,Topline_csat,billing_csat,client_id,claim_csat_t3b,role,ee_csat_t3b_tem,ee_csat_t3b_vb,ee_csat_t3b_ltd,billing_m,issue_m,csat_onbrd,lives_group,Tenure_bin,hrc_flag,total_leave_indicator,has_TCS,BrkrSeg_1,DataFeedInd,LTD_ind,STD_ind,Dent_ind,VSN_ind,LIF_ind,ADD_ind,VB_ind,FML_ind,issue_handling_csat
7403,6,11,1587086694,0,3,1,,,,,,,,,,,,,,,,,,,,,
7404,10,10,1447262539,1,2,1,1,,,,,,,,,,,,,,,,,,,,
7405,10,10,664347,1,2,1,,,,,,,,,,,,,,,,,,,,,10
7406,10,10,1522940247,1,2,1,,,,,,,,,,,,,,,,,,,,,
7407,8,9,980987949,0.8,3,0.8,,,,,,,,,,,,,,,,,,,,,
7408,8,8,783665049,1,1,1,,1,0.333333333,0.777777778,10,LT100,3to5,0,TRUE,0,g. $500K - $5M,N,1,1,1,0,1,1,0,0,
7409,10,10,1501855446,1,2,1,,,,,,,,,,,,,,,,,,,,,
7410,8,8,5.55555E+15,1,3,1,,,,,,,,,,,,,,,,,,,,,
7411,2,10,5.55555E+15,0.25,2,0.25,,,,,,,,,,,,,,,,,,,,,
7412,8,10,5.55555E+15,1,1,1,,,,,,,,,,,,,,,,,,,,,
7413,10,10,1134272205,1,1,0.25,1,0.5,2.5,0.066666667,,500to1999,6to10,0,FALSE,0,f. $50K - $500K,N,1,1,0,0,1,1,1,0,1
7414,8,10,1582838190,1,3,1,,,,,,,,,,,,,,,,,,,,,
7415,8,6,1350320255,0.8,3,0.333333333,0.714285714,,,,,,,,,,,,,,,,,,,,
7416,10,10,5.55555E+15,1,2,1,,,,,,,,,,,,,,,,,,,,,
7417,8,10,5.55555E+15,1,1,1,,,,,,,,,,,,,,,,,,,,,
7418,9,9,1564731480,0.8,3,0.764705882,,,,,,,,,,,,,,,,,,,,,
7419,9,9,1321545672,0.666666667,2,0.666666667,,,0,0,10,LT100,1,0,FALSE,0,h. $5M - $50M,N,1,1,1,1,1,1,0,0,
7420,5,1,1576499646,0.2,2,0.2,0.642857143,,,,,,,,,,,,,,,,,,,,
7421,8,9,1560705109,0.8,1,0.8,,,,,,,,,,,,,,,,,,,,,
7422,7,9,1331387240,0.8,3,0,,1,,,,,,,,,,,,,,,,,,,
7423,9,11,773405,1,2,1,,1,0,0,7,500to1999,6to10,0,FALSE,0,g. $500K - $5M,N,1,0,0,0,0,0,0,0,
7424,7,7,5.55555E+15,0.25,3,0.25,,,,,,,,,,,,,,,,,,,,,
7425,9,9,1169503475,1,3,1,,,,,,,,,,,,,,,,,,,,,
7426,10,10,5.55555E+15,1,2,1,,,,,,,,,,,,,,,,,,,,,
7427,10,10,5.55555E+15,1,3,1,,,,,,,,,,,,,,,,,,,,,
7428,8,8,5.55555E+15,1,3,1,,,,,,,,,,,,,,,,,,,,,
